t425,SendDistance,102722652,102732816,10164
t496,RecvInput,102842312,102842340,28
t426,SendDistance,102944876,102955076,10200
t497,RecvInput,103047444,103047472,28
t427,SendDistance,103167080,103177260,10180
t498,RecvInput,103252540,103252564,24
t428,SendDistance,103389268,103399456,10188
t499,RecvInput,103457648,103457676,28
t429,SendDistance,103611496,103621676,10180
t500,RecvInput,103662780,103662808,28
t501,RecvInput,103867888,103867912,24
t430,SendDistance,103908548,103918780,10232
t502,RecvInput,104072980,104073004,24
t431,SendDistance,104124264,104134500,10236
t503,RecvInput,104278108,104278136,28
t432,SendDistance,104346484,104356724,10240
t504,RecvInput,104483212,104483240,28
t433,SendDistance,104568668,104578852,10184
t505,RecvInput,104688316,104688340,24
t434,SendDistance,104790876,104801064,10188
t506,RecvInput,104893452,104893480,28
t435,SendDistance,105013096,105023336,10240
t507,RecvInput,105098556,105098584,28
t436,SendDistance,105235284,105245468,10184
t508,RecvInput,105303652,105303680,28
t437,SendDistance,105457500,105473320,15820
t509,RecvInput,105508788,105508812,24
t510,RecvInput,105730996,105731024,28
t438,SendDistance,105771672,105787540,15868
t511,RecvInput,105936080,105936108,28
t439,SendDistance,106004456,106014796,10340
t512,RecvInput,106141212,106141236,24
t440,SendDistance,106226684,106237356,10672
t513,RecvInput,106346328,106346356,28
t441,SendDistance,106448876,106459552,10676
t514,RecvInput,106551420,106551448,28
t442,SendDistance,106671076,106681824,10748
t515,RecvInput,106756552,106756576,24
t443,SendDistance,106893304,106903944,10640
t516,RecvInput,106961672,106961696,24
t444,SendDistance,107115488,107126088,10600
t517,RecvInput,107166764,107166788,24
t518,RecvInput,107371892,107371920,28
t445,SendDistance,107412556,107423252,10696
t519,RecvInput,107577004,107577032,28
t446,SendDistance,107628280,107639340,11060
t520,RecvInput,107782100,107782124,24
t447,SendDistance,107850464,107861924,11460
t521,RecvInput,107987216,107987240,24
t448,SendDistance,108072684,108083720,11036
t522,RecvInput,108192340,108192364,24
t449,SendDistance,108294884,108305952,11068
t523,RecvInput,108397436,108397460,24
t450,SendDistance,108517072,108528188,11116
t524,RecvInput,108602544,108602572,28
t451,SendDistance,108739296,108750384,11088
t525,RecvInput,108807676,108807704,28
t452,SendDistance,108961496,108972464,10968
t526,RecvInput,109012772,109012800,28
t527,RecvInput,109217892,109217916,24
t453,SendDistance,109258556,109269228,10672
t528,RecvInput,109423012,109423040,28
t454,SendDistance,109474292,109485236,10944
t529,RecvInput,109628116,109628140,24
t455,SendDistance,109696480,109707108,10628
t530,RecvInput,109833228,109833252,24
t456,SendDistance,109918692,109929252,10560
t531,RecvInput,110038348,110038376,28
t457,SendDistance,110140904,110152072,11168
t532,RecvInput,110243452,110243480,28
t458,SendDistance,110363088,110373408,10320
t533,RecvInput,110448552,110448580,28
t459,SendDistance,110585304,110595708,10404
t534,RecvInput,110653684,110653712,28
t460,SendDistance,110807512,110817708,10196
t535,RecvInput,110858788,110858812,24
t536,RecvInput,111063892,111063916,24
t461,SendDistance,111104556,111114772,10216
t537,RecvInput,111269008,111269036,28
t462,SendDistance,111320292,111330496,10204
t538,RecvInput,111474120,111474148,28
t463,SendDistance,111542484,111552676,10192
t539,RecvInput,111679212,111679240,28
t464,SendDistance,111764676,111774888,10212
t540,RecvInput,111884332,111884356,24
t465,SendDistance,111986892,111997068,10176
t541,RecvInput,112089444,112089468,24
t466,SendDistance,112209080,112219292,10212
t542,RecvInput,112294536,112294560,24
t467,SendDistance,112431272,112441476,10204
t543,RecvInput,112499652,112499676,24
t468,SendDistance,112653488,112663696,10208
t544,RecvInput,112704764,112704788,24
t545,RecvInput,112909864,112909888,24
t469,SendDistance,112950532,112960760,10228
t546,RecvInput,113114972,113115000,28
t470,SendDistance,113166256,113176520,10264
t547,RecvInput,113320096,113320120,24
t471,SendDistance,113388460,113398676,10216
t548,RecvInput,113525188,113525212,24
t472,SendDistance,113610644,113620940,10296
t549,RecvInput,113730296,113730324,28
t473,SendDistance,113832860,113843212,10352
t550,RecvInput,113935424,113935448,24
t474,SendDistance,114055060,114065420,10360
t551,RecvInput,114140516,114140544,28
t475,SendDistance,114277248,114287488,10240
t552,RecvInput,114345628,114345652,24
t476,SendDistance,114499472,114509604,10132
t553,RecvInput,114550756,114550784,28
t554,RecvInput,114755856,114755884,28
t477,SendDistance,114796532,114806540,10008
t555,RecvInput,114960952,114960976,24
t478,SendDistance,115012236,115022300,10064
t556,RecvInput,115166080,115166104,24
t479,SendDistance,115234452,115244536,10084
t557,RecvInput,115371184,115371212,28
t480,SendDistance,115456640,115466796,10156
t558,RecvInput,115576284,115576312,28
t481,SendDistance,115678848,115689096,10248
t559,RecvInput,115781412,115781440,28
t482,SendDistance,115901060,115912200,11140
t560,RecvInput,115986516,115986540,24
t483,SendDistance,116123240,116133644,10404
t561,RecvInput,116191612,116191636,24
t484,SendDistance,116345456,116355864,10408
t562,RecvInput,116396744,116396768,24
t563,RecvInput,116601864,116601892,28
t485,SendDistance,116642532,116652916,10384
t564,RecvInput,116806944,116806968,24
t486,SendDistance,116858224,116868612,10388
t565,RecvInput,117012064,117012092,28
t487,SendDistance,117080440,117090780,10340
t566,RecvInput,117217176,117217204,28
t488,SendDistance,117302628,117312952,10324
t567,RecvInput,117422268,117422292,24
t489,SendDistance,117524820,117535188,10368
t568,RecvInput,117627388,117627412,24
t490,SendDistance,117747044,117758200,11156
